latitude,longitude,mag,magType,time,place,depth,mag_group,date
13.2212,120.3434,5.0,mb,2023-09-18 02:54:04.143000+00:00,"Mindoro, Philippines",35.0,5.0-5.9,2023-Sep-18
13.7629,120.7203,6.2,mww,2023-06-15 02:19:23.272000+00:00,"Mindoro, Philippines",112.0,6.0-6.9,2023-Jun-15
17.4838,122.3072,5.2,mww,2023-05-07 11:36:21.892000+00:00,"45 km NNW of Dicabisagan, Philippines",31.537,5.0-5.9,2023-May-07
17.4696,122.3465,5.4,mww,2023-05-04 00:49:04.476000+00:00,"Luzon, Philippines",19.0,5.0-5.9,2023-May-04
13.6644,120.6333,5.2,mww,2023-04-28 16:00:29.976000+00:00,"18 km S of Calatagan, Philippines",89.364,5.0-5.9,2023-Apr-28
14.2645,118.9138,5.3,mww,2023-04-23 16:23:18.663000+00:00,"129 km WNW of Cabra, Philippines",10.0,5.0-5.9,2023-Apr-23
17.52,122.3026,5.3,mww,2023-04-23 09:19:20.832000+00:00,"48 km ESE of Lapi, Philippines",36.524,5.0-5.9,2023-Apr-23
18.3383,120.4578,5.1,mww,2023-03-28 05:51:28.445000+00:00,"18 km W of Pasuquin, Philippines",25.13,5.0-5.9,2023-Mar-28
15.2022,122.8013,5.0,mb,2023-02-20 03:09:47.618000+00:00,"70 km NE of Casuguran, Philippines",10.0,5.0-5.9,2023-Feb-20
14.9737,119.8311,5.1,mww,2023-02-16 10:33:58.230000+00:00,,46.506,5.0-5.9,2023-Feb-16
12.3099,123.8605,6.1,mww,2023-02-15 18:10:08.107000+00:00,"9 km NNE of Miaga, Philippines",8.0,6.0-6.9,2023-Feb-15
14.4132,122.9785,5.1,mww,2023-01-16 21:57:39.008000+00:00,"22 km NNE of Sabang Indan, Philippines",10.0,5.0-5.9,2023-Jan-16
17.245,120.7169,5.0,mww,2022-12-19 09:05:57.204000+00:00,"18 km S of San Ramon, Philippines",13.968,5.0-5.9,2022-Dec-19
15.6711,119.5725,5.2,mww,2022-12-18 13:33:47.015000+00:00,"33 km WSW of Bolitoc, Philippines",10.0,5.0-5.9,2022-Dec-18
13.6187,120.8179,5.0,mww,2022-12-16 11:00:46.436000+00:00,"7 km SW of Tingloy, Philippines",139.676,5.0-5.9,2022-Dec-16
14.503,123.0492,5.2,mww,2022-12-07 05:05:27.271000+00:00,"34 km NNE of Sabang Indan, Philippines",10.0,5.0-5.9,2022-Dec-07
18.3758,120.8234,5.1,mww,2022-11-24 15:05:06.339000+00:00,"Luzon, Philippines",46.255,5.0-5.9,2022-Nov-24
16.0337,119.4751,5.0,mb,2022-11-19 02:18:23.010000+00:00,"32 km WNW of Ilioilio, Philippines",23.546,5.0-5.9,2022-Nov-19
15.3099,120.8566,5.2,mww,2022-11-08 14:30:00.957000+00:00,"0 km N of San Antonio, Philippines",171.948,5.0-5.9,2022-Nov-08
19.0276,121.1895,5.2,mww,2022-11-07 05:34:05.702000+00:00,"46 km N of Namuac, Philippines",38.458,5.0-5.9,2022-Nov-07
17.6609,120.8147,6.4,mww,2022-10-25 14:59:00.085000+00:00,"11 km E of Dolores, Philippines",6.0,6.0-6.9,2022-Oct-25
17.2931,120.7624,5.2,mww,2022-08-27 18:27:36.197000+00:00,,20.398,5.0-5.9,2022-Aug-27
17.292,120.7158,5.1,mww,2022-07-31 18:48:10.312000+00:00,"13 km S of San Ramon, Philippines",10.0,5.0-5.9,2022-Jul-31
17.6548,120.7067,5.0,mb,2022-07-31 05:49:59.501000+00:00,"0 km NNW of Dolores, Philippines",10.0,5.0-5.9,2022-Jul-31
17.3065,120.9854,5.0,mb,2022-07-27 20:02:40.169000+00:00,"17 km WSW of Pasil, Philippines",10.0,5.0-5.9,2022-Jul-27
16.286,123.0881,5.0,mb,2022-07-27 09:04:18.890000+00:00,Philippine Islands region,10.0,5.0-5.9,2022-Jul-27
17.3806,120.804,5.2,mb,2022-07-27 07:38:21.801000+00:00,"8 km SE of Bantay, Philippines",10.0,5.0-5.9,2022-Jul-27
17.5207,120.8181,7.0,mww,2022-07-27 00:43:26.871000+00:00,"11 km NE of Bantay, Philippines",33.729,7.0-7.9,2022-Jul-27
19.0236,121.3363,6.0,mww,2022-06-30 18:40:36.938000+00:00,"49 km NNE of Namuac, Philippines",30.0,6.0-6.9,2022-Jun-30
17.1257,119.9561,5.2,mww,2022-06-16 06:08:53.556000+00:00,"49 km W of Darapidap, Philippines",23.7,5.0-5.9,2022-Jun-16
14.0187,120.6494,6.1,mww,2022-05-21 21:50:48.047000+00:00,"1 km S of Lian, Philippines",129.0,6.0-6.9,2022-May-21
14.1022,119.2926,5.0,mww,2022-03-29 16:27:15.030000+00:00,"85 km WNW of Cabra, Philippines",10.0,5.0-5.9,2022-Mar-29
14.1384,119.2961,5.2,mww,2022-03-16 00:09:30.323000+00:00,"85 km WNW of Cabra, Philippines",10.0,5.0-5.9,2022-Mar-16
14.0082,119.4751,5.0,mb,2022-03-15 18:15:49.383000+00:00,"63 km WNW of Cabra, Philippines",9.94,5.0-5.9,2022-Mar-15
14.128,119.3606,5.0,mww,2022-03-15 08:05:20.632000+00:00,"78 km WNW of Cabra, Philippines",10.0,5.0-5.9,2022-Mar-15
14.1312,119.5165,5.0,mb,2022-03-14 15:22:53.896000+00:00,"Luzon, Philippines",10.0,5.0-5.9,2022-Mar-14
14.1448,119.334,5.2,mww,2022-03-14 14:40:47.749000+00:00,"82 km WNW of Cabra, Philippines",10.0,5.0-5.9,2022-Mar-14
14.0971,119.3799,5.0,mb,2022-03-13 21:27:18.243000+00:00,"75 km WNW of Cabra, Philippines",10.0,5.0-5.9,2022-Mar-13
