,municipality,impact_type,state,rate,value
0,Caloocan,Building Damage,Slight Damage,normalized,1965.12
1,Las Pinas,Building Damage,Slight Damage,normalized,9353.81
2,Makati,Building Damage,Slight Damage,normalized,121.59
3,Malabon,Building Damage,Slight Damage,normalized,298.16
4,Mandaluyong,Building Damage,Slight Damage,normalized,137.88
5,Manila,Building Damage,Slight Damage,normalized,310.29
6,Marikina,Building Damage,Slight Damage,normalized,84.94
7,Muntinlupa,Building Damage,Slight Damage,normalized,37.14
8,Navotas,Building Damage,Slight Damage,normalized,90.87
9,Paranaque,Building Damage,Slight Damage,normalized,98.6
10,Pasay,Building Damage,Slight Damage,normalized,1788.46
11,Pasig,Building Damage,Slight Damage,normalized,216.26
12,Pateros,Building Damage,Slight Damage,normalized,46.61
13,Quezon,Building Damage,Slight Damage,normalized,1426.42
14,San Juan,Building Damage,Slight Damage,normalized,256.43
15,Taguig,Building Damage,Slight Damage,normalized,148.77
16,Valenzuela,Building Damage,Slight Damage,normalized,209.92
17,Caloocan,Building Damage,Moderate Damage,normalized,3429.84
18,Las Pinas,Building Damage,Moderate Damage,normalized,18575.63
19,Makati,Building Damage,Moderate Damage,normalized,197.05
20,Malabon,Building Damage,Moderate Damage,normalized,568.1
21,Mandaluyong,Building Damage,Moderate Damage,normalized,231.76
22,Manila,Building Damage,Moderate Damage,normalized,530.59
23,Marikina,Building Damage,Moderate Damage,normalized,167.6
24,Muntinlupa,Building Damage,Moderate Damage,normalized,65.25
25,Navotas,Building Damage,Moderate Damage,normalized,160.17
26,Paranaque,Building Damage,Moderate Damage,normalized,168.8
27,Pasay,Building Damage,Moderate Damage,normalized,3553.0
28,Pasig,Building Damage,Moderate Damage,normalized,397.3
29,Pateros,Building Damage,Moderate Damage,normalized,95.88
30,Quezon,Building Damage,Moderate Damage,normalized,2313.44
31,San Juan,Building Damage,Moderate Damage,normalized,429.4
32,Taguig,Building Damage,Moderate Damage,normalized,256.77
33,Valenzuela,Building Damage,Moderate Damage,normalized,321.37
34,Caloocan,Building Damage,Extensive Damage,normalized,3286.26
35,Las Pinas,Building Damage,Extensive Damage,normalized,23075.2
36,Makati,Building Damage,Extensive Damage,normalized,166.12
37,Malabon,Building Damage,Extensive Damage,normalized,604.68
38,Mandaluyong,Building Damage,Extensive Damage,normalized,219.27
39,Manila,Building Damage,Extensive Damage,normalized,493.01
40,Marikina,Building Damage,Extensive Damage,normalized,192.93
41,Muntinlupa,Building Damage,Extensive Damage,normalized,64.39
42,Navotas,Building Damage,Extensive Damage,normalized,160.97
43,Paranaque,Building Damage,Extensive Damage,normalized,154.88
44,Pasay,Building Damage,Extensive Damage,normalized,4478.41
45,Pasig,Building Damage,Extensive Damage,normalized,453.79
46,Pateros,Building Damage,Extensive Damage,normalized,129.03
47,Quezon,Building Damage,Extensive Damage,normalized,1918.0
48,San Juan,Building Damage,Extensive Damage,normalized,364.25
49,Taguig,Building Damage,Extensive Damage,normalized,259.67
50,Valenzuela,Building Damage,Extensive Damage,normalized,230.37
51,Caloocan,Building Damage,Complete Damage,normalized,3903.12
52,Las Pinas,Building Damage,Complete Damage,normalized,30139.86
53,Makati,Building Damage,Complete Damage,normalized,221.85
54,Malabon,Building Damage,Complete Damage,normalized,862.28
55,Mandaluyong,Building Damage,Complete Damage,normalized,331.21
56,Manila,Building Damage,Complete Damage,normalized,573.31
57,Marikina,Building Damage,Complete Damage,normalized,287.42
58,Muntinlupa,Building Damage,Complete Damage,normalized,91.56
59,Navotas,Building Damage,Complete Damage,normalized,239.18
60,Paranaque,Building Damage,Complete Damage,normalized,191.49
61,Pasay,Building Damage,Complete Damage,normalized,6854.11
62,Pasig,Building Damage,Complete Damage,normalized,736.79
63,Pateros,Building Damage,Complete Damage,normalized,264.2
64,Quezon,Building Damage,Complete Damage,normalized,2049.09
65,San Juan,Building Damage,Complete Damage,normalized,384.56
66,Taguig,Building Damage,Complete Damage,normalized,381.23
67,Valenzuela,Building Damage,Complete Damage,normalized,218.96
68,Caloocan,Building Damage,Complete Collapse,normalized,491.24
69,Las Pinas,Building Damage,Complete Collapse,normalized,3655.72
70,Makati,Building Damage,Complete Collapse,normalized,28.89
71,Malabon,Building Damage,Complete Collapse,normalized,99.96
72,Mandaluyong,Building Damage,Complete Collapse,normalized,36.79
73,Manila,Building Damage,Complete Collapse,normalized,71.18
74,Marikina,Building Damage,Complete Collapse,normalized,39.14
75,Muntinlupa,Building Damage,Complete Collapse,normalized,11.05
76,Navotas,Building Damage,Complete Collapse,normalized,26.69
77,Paranaque,Building Damage,Complete Collapse,normalized,24.84
78,Pasay,Building Damage,Complete Collapse,normalized,841.55
79,Pasig,Building Damage,Complete Collapse,normalized,89.13
80,Pateros,Building Damage,Complete Collapse,normalized,33.73
81,Quezon,Building Damage,Complete Collapse,normalized,277.89
82,San Juan,Building Damage,Complete Collapse,normalized,45.04
83,Taguig,Building Damage,Complete Collapse,normalized,46.42
84,Valenzuela,Building Damage,Complete Collapse,normalized,29.88
85,Caloocan,Casualties,Slight Injuries,normalized,297251.14
86,Las Pinas,Casualties,Slight Injuries,normalized,2283791.02
87,Makati,Casualties,Slight Injuries,normalized,14850.86
88,Malabon,Casualties,Slight Injuries,normalized,38129.26
89,Mandaluyong,Casualties,Slight Injuries,normalized,17460.07
90,Manila,Casualties,Slight Injuries,normalized,35130.56
91,Marikina,Casualties,Slight Injuries,normalized,12660.37
92,Muntinlupa,Casualties,Slight Injuries,normalized,4118.54
93,Navotas,Casualties,Slight Injuries,normalized,22433.26
94,Paranaque,Casualties,Slight Injuries,normalized,6778.37
95,Pasay,Casualties,Slight Injuries,normalized,395332.39
96,Pasig,Casualties,Slight Injuries,normalized,37020.27
97,Pateros,Casualties,Slight Injuries,normalized,15391.05
98,Quezon,Casualties,Slight Injuries,normalized,88620.92
99,San Juan,Casualties,Slight Injuries,normalized,16564.76
100,Taguig,Casualties,Slight Injuries,normalized,32709.19
101,Valenzuela,Casualties,Slight Injuries,normalized,11597.55
102,Caloocan,Casualties,Serious Injuries,normalized,88303.99
103,Las Pinas,Casualties,Serious Injuries,normalized,690714.69
104,Makati,Casualties,Serious Injuries,normalized,4367.86
105,Malabon,Casualties,Serious Injuries,normalized,11652.19
106,Mandaluyong,Casualties,Serious Injuries,normalized,5170.63
107,Manila,Casualties,Serious Injuries,normalized,10507.52
108,Marikina,Casualties,Serious Injuries,normalized,3865.69
109,Muntinlupa,Casualties,Serious Injuries,normalized,1187.04
110,Navotas,Casualties,Serious Injuries,normalized,6549.53
111,Paranaque,Casualties,Serious Injuries,normalized,1980.05
112,Pasay,Casualties,Serious Injuries,normalized,104264.89
113,Pasig,Casualties,Serious Injuries,normalized,11460.46
114,Pateros,Casualties,Serious Injuries,normalized,4690.89
115,Quezon,Casualties,Serious Injuries,normalized,25748.54
116,San Juan,Casualties,Serious Injuries,normalized,4813.98
117,Taguig,Casualties,Serious Injuries,normalized,9708.47
118,Valenzuela,Casualties,Serious Injuries,normalized,3361.36
119,Caloocan,Casualties,Life - threatening Injuries,normalized,12644.96
120,Las Pinas,Casualties,Life - threatening Injuries,normalized,105456.69
121,Makati,Casualties,Life - threatening Injuries,normalized,526.19
122,Malabon,Casualties,Life - threatening Injuries,normalized,1585.68
123,Mandaluyong,Casualties,Life - threatening Injuries,normalized,692.91
124,Manila,Casualties,Life - threatening Injuries,normalized,1462.13
