City,Barangay,Population
Manila,Barangay 1,"2,995"
Manila,Barangay 2,"1,887"
Manila,Barangay 3,"1,341"
Manila,Barangay 4,"1,691"
Manila,Barangay 5,"1,288"
Manila,Barangay 6,771
Manila,Barangay 7,"1,560"
Manila,Barangay 8,147
Manila,Barangay 9,447
Manila,Barangay 10,160
Manila,Barangay 11,"2,758"
Manila,Barangay 12,"2,137"
Manila,Barangay 13,"2,371"
Manila,Barangay 14,"2,070"
Manila,Barangay 15,"1,119"
Manila,Barangay 16,"1,477"
Manila,Barangay 17,"1,176"
Manila,Barangay 18,"1,982"
Manila,Barangay 19,"2,272"
Manila,Barangay 20,"45,772"
Manila,Barangay 25,"2,545"
Manila,Barangay 26,"2,555"
Manila,Barangay 28,"2,787"
Manila,Barangay 29,"4,406"
Manila,Barangay 30,166
Manila,Barangay 31,"2,881"
Manila,Barangay 32,"2,219"
Manila,Barangay 33,"4,082"
Manila,Barangay 34,"1,854"
Manila,Barangay 35,"2,265"
Manila,Barangay 36,"2,231"
Manila,Barangay 37,"2,057"
Manila,Barangay 38,"2,870"
Manila,Barangay 39,"2,324"
Manila,Barangay 41,"3,825"
Manila,Barangay 42,"2,142"
Manila,Barangay 43,"3,362"
Manila,Barangay 44,800
Manila,Barangay 45,"2,264"
Manila,Barangay 46,"2,088"
Manila,Barangay 47,"1,123"
Manila,Barangay 48,"4,070"
Manila,Barangay 49,"2,119"
Manila,Barangay 50,"4,217"
Manila,Barangay 51,"2,580"
Manila,Barangay 52,"2,732"
Manila,Barangay 53,"2,916"
Manila,Barangay 54,"1,648"
Manila,Barangay 55,"2,492"
Manila,Barangay 56,"3,457"
Manila,Barangay 57,882
Manila,Barangay 58,"3,719"
Manila,Barangay 59,"1,112"
Manila,Barangay 60,"4,503"
Manila,Barangay 61,"1,022"
Manila,Barangay 62,"1,967"
Manila,Barangay 63,"1,448"
Manila,Barangay 64,495
Manila,Barangay 65,"1,631"
Manila,Barangay 66,"2,956"
Manila,Barangay 67,"4,083"
Manila,Barangay 68,"1,115"
Manila,Barangay 69,"1,968"
Manila,Barangay 70,"2,344"
Manila,Barangay 71,"3,417"
Manila,Barangay 72,"3,233"
Manila,Barangay 73,"2,478"
Manila,Barangay 74,"1,039"
Manila,Barangay 75,"1,350"
Manila,Barangay 76,"1,844"
Manila,Barangay 77,"1,372"
Manila,Barangay 78,"1,221"
Manila,Barangay 79,"1,520"
Manila,Barangay 80,"2,553"
Manila,Barangay 81,"1,815"
Manila,Barangay 82,"2,642"
Manila,Barangay 83,"1,473"
Manila,Barangay 84,"1,141"
Manila,Barangay 85,"4,032"
Manila,Barangay 86,"1,415"
Manila,Barangay 87,"1,633"
Manila,Barangay 88,"1,096"
Manila,Barangay 89,720
Manila,Barangay 90,630
Manila,Barangay 91,"4,552"
Manila,Barangay 92,"2,639"
Manila,Barangay 93,"3,960"
Manila,Barangay 94,"2,178"
Manila,Barangay 95,"5,543"
Manila,Barangay 96,"2,100"
Manila,Barangay 97,"3,634"
Manila,Barangay 98,"1,899"
Manila,Barangay 99,"6,310"
Manila,Barangay 100,"2,222"
Manila,Barangay 101,"15,358"
Manila,Barangay 102,"4,157"
Manila,Barangay 103,"4,772"
Manila,Barangay 104,"5,741"
Manila,Barangay 105,"24,971"
Manila,Barangay 106,"2,513"
Manila,Barangay 107,"7,003"
