Municipality,Slight Injuries (per square km),Serious Injuries (per square km),Life - threatening Injuries (per square km),Fatalities (per square km)
Angono,2688.56,780.04,87.11,215.1
Antipolo,8153.98,2382.87,305.79,662.53
Cainta,4702.94,1468.81,165.73,440.63
Caloocan,297251.14,88303.99,12644.96,26830.97
Las Pinas,2283791.02,690714.69,105456.69,205446.39
Makati,14850.86,4367.86,526.19,1161
Malabon,38129.26,11652.19,1585.68,3617.75
Mandaluyong,17460.07,5170.63,692.91,1438.95
Manila,35130.56,10507.52,1462.13,3096.78
Marikina,12660.37,3865.69,476.36,1154.65
Muntinlupa,4118.54,1187.04,136.96,301.83
Navotas,22433.26,6549.53,864.04,1810.73
Paranaque,6778.37,1980.05,202.94,515.06
Pasay,395332.39,104264.89,17965.51,32835.88
Pasig,37020.27,11460.46,1645.82,3428.12
Pateros,15391.05,4690.89,679.24,1368.03
Quezon,88620.92,25748.54,2997.37,7327.68
Rodriguez,2770.61,802.57,109.42,237.35
San Juan,16564.76,4813.98,491.42,1359.23
San Mateo,10093.77,3107.5,473.81,969.72
Taguig,32709.19,9708.47,1225.5,2681.28
Taytay,2589.29,749.42,85.53,206.65
Valenzuela,11597.55,3361.36,395.46,920.7
