"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Name 1","Old Health Facility Name 2","Old Health Facility Name 3","Facility Major Type","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Service Capability","Bed Capacity","Licensing Status","License Validity Date"
"DOH000000000005026","5026","A. ZARATE GENERAL HOSPITAL","","","","Health Facility","Hospital","Private","","","ATLAS COMPOUND NAGA ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","137600000","CITY OF LAS PI?AS","138020000","PULANG LUPA DOS","1380200016","","+63 028746903","+63 028724827","+63 028724827","azarategeneralhospital@gmail.com","azarategeneralhospital91@gmail.com","","Level 1","17","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000004706","4706","ACEBEDO GENERAL HOSPITAL","","","","Health Facility","Hospital","Private","","","849 GEN. LUIS STREET, BAGBAGUIN","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","1375000000","CITY OF CALOOCAN","1380100000","BARANGAY 175","1380100175","","+63 029835363","+63 024001272","+63 029835363","acebedogenhospital@yahoo.com","","","Level 1","16","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000006034","6034","ADVENTIST MEDICAL CENTER MANILA","ADVENTIST MEDICAL CENTER, INC.","MANILA SANITARIUM HOSPITAL","MANILA ADVENTIST MEDICAL CENTER AND COLLEGES, INC.","Health Facility","Hospital","Private","","","1975 DONADA STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","PASAY CITY","1381100000","BARANGAY 35","1381100035","1300","+63 025259191","","+63 025243256","info@amcmanila.org","","","Level 3","150","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000002244","2244","AIR FORCE GENERAL HOSPITAL","","","","Health Facility","Hospital","Government","Department of National Defense","","COL. JESUS VILLAMOR AIR BASE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","PASAY CITY","1381100000","BARANGAY 183","1381100183","1309","+63 0288546701","+63 0288535056","+63 028546701","afghopns@yahoo.com","","","Level 2","100","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000403","403","ALABANG MEDICAL CENTER","","","","Health Facility","Hospital","Private","","","ALABANG-ZAPOTE ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","137600000","CITY OF MUNTINLUPA","138080000","ALABANG","1380800001","","+63 028078189","","+63 0288078189","alabangmedcenter@gmail.com","","","Level 1","18","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000004702","4702","ALABANG MEDICAL CLINIC","","","","Health Facility","Hospital","Private","","","297 T. MONTILLANO STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF MUNTINLUPA","1380800000","ALABANG","1380800001","","+63 0288420680","+63 028421639","+63 0288420680","fmontillano@yahoo.com","","","Level 1","18","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000004395","4395","ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH","","","","Health Facility","Hospital","Private","","","ALABANG-ZAPOTE RD. COR. MENDOZA ST. PELAYO VILLAGE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","137600000","CITY OF LAS PI?AS","138020000","TALON UNO","1380200008","","+63 028742506","+63 028736464","+63 028731288","amc.talon@yahoo.com","","","Level 1","18","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000007497","7497","ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH","","","","Health Facility","Hospital","Private","","","1 NATIONAL ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","137600000","CITY OF MUNTINLUPA","138080000","PUTATAN","1380800006","","+63 0288421723","+63 0288611187","+63 028611187","amc.munti@yahoo.com","","","Level 1","25","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000003039","3039","ALFONSO SPECIALIST HOSPITAL","","","","Health Facility","Hospital","Private","","","185 DR. SIXTO ANTONIO AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","137400000","CITY OF PASIG","138120000","ROSARIO","1381200017","","+63 025711285","+63 026412756","+63 026433405","alfonsospecialist_hospital@yahoo.com","","","Level 1","22","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000037036","37036","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PATEROS, INC.","","","","Health Facility","Hospital","Private","","","884 P. HERRERA STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","PATEROS","1381701000","AGUHO","1381701001","1620","+63 028788677","+63 027069398","","acemcpateros@gmail.com","","","Level 2","58","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
