,facility_name,facility_type,street,region,district,city,barangay,service_capability,bed_capacity,coordinates
0,A. ZARATE GENERAL HOSPITAL,Hospital,ATLAS COMPOUND NAGA ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,PULANG LUPA DOS,Level 1,17,"(120.980515915737, 14.4690104246232)"
1,ACEBEDO GENERAL HOSPITAL,Hospital,"849 GEN. LUIS STREET, BAGBAGUIN",NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 175,Level 1,16,"(121.005092590193, 14.7187700341626)"
2,ADVENTIST MEDICAL CENTER MANILA,Hospital,1975 DONADA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PASAY CITY,BARANGAY 35,Level 3,150,"(120.9952699, 14.555952)"
3,AIR FORCE GENERAL HOSPITAL,Hospital,COL. JESUS VILLAMOR AIR BASE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PASAY CITY,BARANGAY 183,Level 2,100,"(121.0200055, 14.5168894)"
4,ALABANG MEDICAL CENTER,Hospital,ALABANG-ZAPOTE ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,ALABANG,Level 1,18,"(121.0244792, 14.4277653)"
5,ALABANG MEDICAL CLINIC,Hospital,297 T. MONTILLANO STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,ALABANG,Level 1,18,"(121.0499702, 14.4192377)"
6,ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH,Hospital,ALABANG-ZAPOTE RD. COR. MENDOZA ST. PELAYO VILLAGE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,TALON UNO,Level 1,18,"(120.996992734168, 14.4431677073501)"
7,ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH,Hospital,1 NATIONAL ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,PUTATAN,Level 1,25,"(121.044447338918, 14.3926200952398)"
8,ALFONSO SPECIALIST HOSPITAL,Hospital,185 DR. SIXTO ANTONIO AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,ROSARIO,Level 1,22,"(121.0846475, 14.5901099)"
9,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PATEROS, INC.",Hospital,884 P. HERRERA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PATEROS,AGUHO,Level 2,58,"(121.065206667458, 14.54411553791)"
